nconst	primaryName	birthYear	deathYear
nm0208659	Sam De Grasse	1875	1953
nm0209163	Pedro Calderón de la Barca	1600	1681
nm0209234	Jean de La Fontaine	1621	1695
nm0209322	Friedrich de La Motte	1777	1843
nm0209331	M. de la Parelle	1869	1924
nm0209694	Edgena De Lespine	1882	1920
nm0209704	Del De Lewis	\N	\N
nm0209738	Giuseppe de Liguoro	1869	1944
nm0209789	Jean-Marie de l'Isle	\N	\N
nm0209802	Luis de Llano	1945	\N
nm0210016	Gordon De Main	1886	1954
nm0210216	Shirley De Me	1898	1940
nm0210352	William C. de Mille	1878	1955
nm0210437	Conchita de Moraes	1885	1962
nm0210503	Alfred de Musset	1810	1857
nm0210984	Erika De Planque	\N	\N
nm0211191	Charles de Rochefort	1879	1952
nm0211274	Rex De Rosselli	1878	1941
nm0211528	Grace C. de Sellen	\N	\N
nm0211666	Marie de Solla	1834	1928
nm0211667	Rachel de Solla	1854	1920
nm0211697	Alfredo de Sousa	\N	\N
nm0212040	Emil De Varney	1881	\N
nm0212098	Willem van der Veer	1887	1960
nm0212664	Charles Allen Dealey	1867	1930
nm0212912	Priscilla Dean	1896	1987
nm0213049	Sydney Deane	1863	1934
nm0213108	Frank L. Dear	\N	\N
nm0213151	Ashton Dearholt	1894	1942
nm0213842	Harry L. Decker	1887	1959
nm0213989	Pierre Decourcelle	1856	1926
nm0214243	André Deed	1879	1940
nm0214651	Adele DeGarde	1899	1966
nm0214715	M. Degeorge	\N	\N
nm0215516	Ubaldo Maria Del Colle	1883	1958
nm0215752	Antonio del Pozo	\N	\N
nm0215874	Hampton Del Ruth	1879	1958
nm0216031	Rudolf Del Zopp	1861	1927
nm0216066	Charles Delac	1885	1965
nm0216211	Maurice Delamare	\N	\N
nm0216263	Charles Delaney	1892	1959
nm0216311	Leo Delaney	1885	1920
nm0216472	Hattie Delaro	1861	1941
nm0216535	Delaunay	1854	1937
nm0216582	Casimir Delavigne	1793	1843
nm0216696	Bertha E. DeLecuona	\N	\N
nm0216941	Fernando Delgado	1891	1950
nm0217557	Harry Delmar	1892	1984
nm0217558	Herbert Delmar	1888	1980
nm0217567	Thomas Delmar	1879	1952
nm0217606	Pierre Delmonde	\N	\N
nm0217615	Joseph Delmont	1873	1935
nm0217624	Ralph Delmore	1853	1923
nm0217625	Juanita Delmorez	\N	\N
nm0217963	Jeanne Delvair	1877	1949
nm0218175	Marie Demartiniová-Hradcanská	\N	\N
nm0218404	Aristide Demetriade	1872	1930
nm0218469	Olga Demidoff	\N	\N
nm0218489	Henry C. DeMille	1853	1893
nm0218953	Rhoda Dendron	1884	1970
nm0219459	Gordon Dennis	\N	\N
nm0219580	Anabel Dennison	\N	\N
nm0219832	Jack Denton	1872	1949
nm0220460	Germaine Dermoz	1888	1966
nm0220558	Harry DeRoy	1867	\N
nm0220672	Blanche Derval	1885	1973
nm0221142	Henri Desfontaines	1876	1931
nm0221146	Mr. Desforges	\N	\N
nm0221439	Reginald Sheffield	1901	1957
nm0221765	István Dessewffy gróf	\N	\N
nm0221883	Otto Detlefsen	1881	1963
nm0222367	Minnie Devereaux	1869	1923
nm0222401	Nat G. Deverich	1893	1963
nm0222407	Frank DeVernon	1851	1923
nm0222420	Jaime Devesa	\N	\N
nm0223460	Alfréd Deésy	1877	1961
nm0223510	Max Dhartigny	\N	\N
nm0223865	Salvatore Di Giacomo	1860	1934
nm0225458	Basil Dickey	1880	1958
nm0225469	Paul Dickey	1882	1933
nm0225557	W. Dickinson	\N	\N
nm0225653	Harris Dickson	1868	1946
nm0225835	Hulda Didrichsen	1872	1961
nm0225885	Anna Diedrich	1865	1926
nm0225905	Wilhelm Diegelmann	1861	1934
nm0226265	Mary Dietrich	\N	\N
nm0226278	Robert A. Dietrich	1889	1947
nm0226295	Hedvig Dietrichson	\N	\N
nm0226320	Charles Dietz	\N	\N
nm0226387	Albert Dieudonné	1889	1976
nm0226879	Lotte Neumann	1896	1977
nm0226992	Edward Dillon	1879	1933
nm0227020	John Francis Dillon	1884	1934
nm0227021	John T. Dillon	1876	1937
nm0227022	John Webb Dillion	1877	1949
nm0227062	Robert Dillon	1889	1944
nm0227597	Emil Dinesen	\N	\N
nm0227602	Robert Dinesen	1874	1972
nm0227843	Mark M. Dintenfass	1872	1933
nm0227866	R. Dinwiddie	\N	\N
nm0227919	Hector Dion	1881	1943
nm0228512	Raymond L. Ditmars	1876	1942
nm0228529	Leo Ditrichstein	1865	1928
nm0228724	Henry E. Dixey	1859	1943
nm0228746	Thomas Dixon Jr.	1864	1946
nm0228784	Charles Dixon	\N	\N
nm0229629	Beverly B. Dobbs	1868	1937
nm0229900	F.A. Dobson	1866	1948
nm0230020	Lew Dockstader	1856	1924
nm0230188	Anna Dodge	1867	1945
nm0230778	Frank Dolan	1894	1945
nm0231184	Jenny Dolly	1892	1941
nm0231591	Evelyn Dumo	1888	\N
nm0231656	Caroline van Dommelen	1874	1957
nm0231657	Jan van Dommelen	1878	1942
nm0232063	Arthur Donaldson	1869	1955
nm0232370	Cesare Dondine	\N	\N
nm0232429	Lyn Donelson	1891	1966
nm0232592	Mike Donlin	1878	1933
nm0232681	Anthony Donnelly	\N	\N
nm0232704	Dorothy Donnelly	1880	1928
nm0232713	Grattan Donnelly	\N	\N
nm0233512	Mrs. Charles A. Doremus	\N	\N
nm0233530	Georges Dorival	1871	1939
nm0233592	Thomas A. 'Tad' Dorgan	1877	1929
nm0233626	Giovanni Doria	\N	\N
nm0234288	Aurélio da Paz dos Reis	1862	1931
nm0234528	Carlotta Doti	\N	\N
nm0234670	Carl Schenstrøm	1881	1942
nm0234714	Paul Doucet	1885	1928
nm0234762	Omer F. Doud	1887	1938
nm0234845	George S. Dougherty	1865	1931
nm0234906	Francis Worcester Doughty	1850	1917
nm0235121	John Douglas	\N	\N
nm0235168	Malcolm Douglas	\N	\N
nm0235236	Royal Douglas	1888	1924
nm0235303	Charles Douglass	\N	\N
nm0235495	Julian Doux	\N	1915
nm0235791	William C. Dowlan	1882	1947
nm0235848	Joseph J. Dowling	1850	1928
nm0236279	Arthur Conan Doyle	1859	1930
nm0236373	James Patrick Doyle	1956	2002
nm0236399	Johnny Doyle	\N	1919
nm0236945	Josephine Drake	1885	1929
nm0237071	Leontine Dranet	\N	\N
nm0237597	Marie Dressler	1868	1934
nm0237630	Anne Drew	1890	1974
nm0237642	Cora Drew	\N	\N
nm0237667	Helen Drew	\N	\N
nm0237682	Lillian Drew	1883	1924
nm0237692	Mrs. Sidney Drew	1870	1914
nm0237693	Mrs. Sidney Drew	1890	1925
nm0237710	S. Rankin Drew	1891	1918
nm0237713	Sidney Drew	1863	1919
nm0237981	Henry Driscole	\N	\N
nm0238338	Robert Drouet	1870	1914
nm0238532	Jack Drumier	1867	1929
nm0238714	Margaree P. Dryden	\N	\N
nm0238853	Joseph A. Dubray	1881	\N
nm0238900	George L. Du Maurier	1834	1896
nm0239263	Margarita Dubertrand	\N	\N
nm0239495	André Dubosc	1866	1935
nm0239982	Jean Ducret	\N	\N
nm0240108	Charles Dudley	1883	1952
nm0240143	M.B. Dudley	1871	\N
nm0240418	William Duff	\N	\N
nm0240646	Huguette Duflos	1887	1982
nm0241404	Philippe Dumanoir	1806	1865
nm0241407	Jean Dumar	\N	\N
nm0241414	Alexandre Dumas fils	1824	1895
nm0241416	Alexandre Dumas	1802	1870
nm0241758	Nicholas Dunaew	1884	1963
nm0241838	Helen Dunbar	1863	1933
nm0241867	Robert Dunbar	1858	1943
nm0241917	Bud Duncan	1883	1960
nm0242055	Norman Duncan	1871	1916
nm0242139	William Duncan	1879	1961
nm0242155	Jean-Benoît Dunckel	1969	\N
nm0242243	Charles Dungan	1853	\N
nm0242288	Phil Dunham	1885	1972
nm0242349	Harry Dunkinson	1876	1936
nm0242399	Louise Dunlap	1860	1940
nm0242412	Scott R. Dunlap	1892	1970
nm0242512	Bobby Dunn	1890	1937
nm0242554	Eddie Dunn	1896	1951
nm0242558	Eleanor Dunn	\N	\N
nm0242562	Emma Dunn	1874	1966
nm0242564	Ethel Dunn	\N	\N
nm0242635	John J. Dunn	1874	1928
nm0242800	William R. Dunn	1888	1946
nm0242853	James Dunne	1883	1957
nm0243017	Erich Dunskus	1890	1967
nm0243614	Edmond Duquesne	1854	\N
nm0243651	Durafour	\N	\N
nm0243796	Jean Durand	1882	1946
nm0243860	Harry R. Durant	1871	1957
nm0243918	José Durany	\N	\N
nm0244030	Minta Durfee	1889	1975
nm0244079	Hanson Durham	1873	1941
nm0244089	Louis Durham	1877	1960
nm0244134	Tilla Durieux	1880	1971
nm0244442	Germaine Dury	\N	\N
nm0244658	H.A. DuSouchet	\N	\N
nm0244989	Benoît Duval	1881	\N
nm0245026	Henri Duval	1874	1953
nm0245385	Allan Dwan	1885	1981
nm0245416	Jay Dwiggins	1866	1919
nm0245422	Mabel Dwight	\N	\N
nm0245424	Marquita Dwight	\N	\N
nm0245657	Florence Dye	1888	1958
nm0245769	Percy Dyer	\N	\N
nm0246358	Fernande Dépernay	1868	1956
nm0246414	N. Díaz Alonso	\N	\N
nm0246445	Fernando Díaz de Mendoza	1862	1930
nm0246568	Emilio Díaz	\N	\N
nm0246715	Porfirio Díaz	1830	1915
nm0246950	Kurt Dürnhöfer	1886	1958
nm0247083	Eagle Eye	1877	1927
nm0247107	Oscar Eagle	1861	1930
nm0247305	Edward Earle	1882	1972
nm0247484	B. Reeves Eason	1886	1956
nm0247534	John East	1860	1924
nm0247854	Mabel Eaton	1875	1916
nm0247954	Dagmar Ebbesen	1891	1954
nm0248177	Charles Eberts	\N	\N
nm0248181	John Eberts	1888	1956
nm0248750	William Eckstein	1888	1963
nm0248836	Wallace Eddinger	1881	1929
nm0249186	Arthur Edeson	1891	1970
nm0249187	Robert Edeson	1868	1931
nm0249379	Thomas A. Edison	1847	1931
nm0249400	Charles Edler	1864	1942
nm0249426	Hugo Edlund	1883	1953
nm0249530	Albert Edmondson	1896	1954
nm0249537	Harry Edmondson	1873	1924
nm0249656	Charles Edrington	\N	\N
nm0249772	George Edwardes-Hall	1872	1922
nm0249785	Alan Edwards	1892	1954
nm0249871	Charles Michael Edwards	1898	1978
nm0250034	Harry Edwards	1887	1952
nm0250053	J. Gordon Edwards	1867	1925
nm0250111	John Edwards	1868	1929
nm0250207	Mattie Edwards	1866	1944
nm0250240	Neely Edwards	1883	1965
nm0250395	Ted Edwards	1884	1945
nm0250440	Vivian Edwards	1896	1949
nm0250445	Walter Edwards	1870	1920
nm0250480	Walter Edwin	1868	\N
nm0250635	María Ega	\N	\N
nm0250676	Gladys Egan	1900	1985
nm0250983	Ann Eggleston	1866	1934
nm0250989	Edward Eggleston	\N	\N
nm0251436	N. Eiberg	\N	\N
nm0251442	Poul Eibye	1885	1972
nm0251456	Richard Eichberg	1888	1953
nm0251589	Senta Eichstaedt	\N	\N
nm0251622	Egil Eide	1868	1946
nm0251911	Alice Eis	1889	1956
nm0252472	Gösta Ekman	1890	1938
nm0252476	John Ekman	1880	1949
nm0252720	El Mochuelo	\N	\N
nm0253052	Ethel Elder	\N	\N
nm0253100	Willis Elder	\N	\N
nm0253151	Charles Eldridge	1854	1922
nm0253298	Peter Elfelt	1866	1931
nm0253304	Emmy Elffors	1889	1950
nm0253307	Nils Elffors	1885	1925
nm0253621	Marie Eline	1902	1981
nm0253652	George Eliot	1819	1880
nm0253815	Edward Elkas	1862	1933
nm0254076	Arthur Ellery	1870	1945
nm0254356	A.E. Elliott	\N	\N
nm0254360	Alice Claire Elliott	\N	\N
nm0254556	Maxine Elliott	1868	1940
nm0254557	Maxine Elliott Hicks	1904	2000
nm0254671	William Elliott	1885	1932
nm0254852	George D. Ellis	1898	1973
nm0254877	Jack Ellis	1869	\N
nm0255216	Marjorie Ellison	1887	1936
nm0255243	Grace Elliston	1878	1950
nm0255420	William Elmer	1869	1945
nm0255822	Sven Elvestad	1884	1934
nm0255827	June Elvidge	1893	1965
nm0255922	Gilbert Ely	1858	1920
nm0256191	Charles Emerson	\N	\N
nm0256221	John Emerson	1874	1956
nm0256352	Thomas V. Emory	1883	1921
nm0256556	Marion Emmons	1907	1995
nm0256651	Empress Augusta Victoria	1858	1921
nm0257022	Carl Engdahl	1864	1939
nm0257385	Harry Engholm	1874	1953
nm0257406	Olga Engl	1871	1946
nm0257574	Arvid Englind	1882	1972
nm0257617	Fred English	\N	\N
nm0257788	Frans Engström	1873	1940
nm0257828	Vicente Enhart	\N	\N
nm0257866	Adolphe d'Ennery	1811	1899
nm0257897	Patrick Ennis	\N	\N
nm0258197	Harold Entwistle	1865	1944
nm0258630	Ludwig G.B. Erb	1875	1958
nm0258697	Emile Erckmann	1822	1899
nm0258951	Fred Eric	1874	1935
nm0259235	Adam Eriksen	\N	\N
nm0259815	Lea Errol	\N	\N
nm0259860	Margery Bonney Erskine	1864	1949
nm0260089	Line Eshrard	\N	\N
nm0260391	Paul Escoffier	1875	1941
nm0260523	Pilar Escuer	\N	\N
nm0260723	Elsie Esmond	1880	1958
nm0260724	Frank Esmond	\N	\N
nm0260771	Juan Espantaleón	1885	1966
nm0260952	Espinosa	\N	\N
nm0261455	Howard Estabrook	1884	1978
nm0261789	Antonia Estrada	\N	\N
nm0261907	Estrens	\N	\N
nm0261981	Ferenc Eszterházy gróf	1896	1939
nm0262080	Alphonse Ethier	1874	1943
nm0262132	Carit Etlar	1816	1900
nm0262757	Frank Evans	1849	1934
nm0262763	Fred Evans	1889	1951
nm0262902	Joe Evans	1891	1967
nm0263075	Millicent Evans	\N	\N
nm0263564	Reginald Everett	\N	\N
nm0263632	Arthur Evers	1879	\N
nm0263716	Paul Everton	1868	1948
nm0263912	Hanns Heinz Ewers	1871	1943
nm0264279	Harry B. Eytinge	1862	1928
nm0264286	Bessie Eyton	1890	1965
nm0264327	Lau Ezerman	1892	1940
nm0264569	Kate Fabian	1870	1929
nm0264647	William Fables	1875	\N
nm0264710	Fabienne Fabrèges	1889	\N
nm0265023	James B. Fagan	1873	1933
nm0265289	Milton J. Fahrney	1872	1941
nm0265479	Madeline Fairbanks	1900	1989
nm0265480	Marion Fairbanks	1900	1973
nm0265579	Virginia Fairfax	\N	\N
nm0265714	Geoffrey Faithfull	1893	1979
nm0265890	August Falck	1882	1938
nm0266080	Ugo Falena	1875	1931
nm0266183	Norbert Falk	1872	1932
nm0266254	Julius Falkenstein	1879	1933
nm0266714	Dorothy Fane	1889	1976
nm0266933	Richard Fantl	1903	1961
nm0267638	Dot Farley	1881	1971
nm0267912	William Farnum	1876	1953
nm0267914	Dustin Farnum	1874	1929
nm0267916	Franklyn Farnum	1878	1961
nm0267922	Marshall Farnum	1879	1917
nm0268125	Geraldine Farrar	1882	1967
nm0268232	Howard Farrell	\N	\N
nm0268422	Adele Farrington	1867	1936
nm0268437	Frank Farrington	1873	1924
nm0268447	Reenie Farrington	1897	1956
nm0268495	Nellie Farron	\N	\N
nm0268559	Claude Farrère	1876	1957
nm0268732	Max Fassbender	1868	\N
nm0269265	Martin Faust	1886	1943
nm0269493	George Fawcett	1860	1939
nm0269572	Hugh Fay	1882	1926
nm0269582	Joseph C. Fay	\N	\N
nm0269771	Louise Fazenda	1895	1962
nm0269863	Maude Fealy	1883	1971
nm0269897	Jane Fearnley	1880	1952
nm0270007	Charles Fechter	1824	1879
nm0270261	Sári Fedák	1879	1955
nm0270290	Charles E. 'Bunny' Feehan	1870	\N
nm0270291	Frank Feehan	\N	\N
nm0270415	Friedrich Feher	1889	1950
nm0270485	Gyula Fehér	1879	1965
nm0270858	László Fekete	1889	1947
nm0271357	Josep Feliú i Codina	1845	1893
nm0271659	William Felton	1850	1921
nm0271668	Paul L. Feltus	1889	1971
nm0271679	Mathilde Felumb Friis	1871	1945
nm0272064	Mark Fenton	1866	1925
nm0272340	Helen Fergus	\N	\N
nm0272889	Nascimento Fernandes	1881	1955
nm0273205	Adelardo Fernández Arias	\N	\N
nm0273338	Carlos Fernández Shaw	1865	1911
nm0273943	Jules Ferrar	\N	\N
nm0274368	Lino Ferreira	1884	1939
nm0275421	Louis Feuillade	1873	1925
nm0275670	Erwin Fichtner	\N	\N
nm0275941	George Field	1877	1925
nm0275943	Gladys Field	1889	1920
nm0276160	Miss Fielding	\N	\N
nm0276165	Romaine Fielding	1868	1927
nm0276300	Lew Fields	1867	1941
nm0276408	Louis Fierce	1852	1926
nm0276501	Shannon Fife	1888	1972
nm0276577	Adolf Figman	\N	\N
nm0276578	Max Figman	1861	1952
nm0276862	William Fildew	1890	1943
nm0277313	Al W. Filson	1857	1925
nm0277317	Mrs. A.W. Filson	1859	1953
nm0277411	Flora Finch	1867	1940
nm0277534	J. Findlay	\N	\N
nm0278062	Ned Finley	1870	1920
nm0278321	Antonio Fino	\N	\N
nm0278792	Harry Fischbeck	1879	1968
nm0278843	Carl Ferdinand Fischer	1889	1957
nm0278956	Hugo Fischer	1881	1941
nm0279038	Margarita Fischer	1886	1975
nm0279188	Ulla Fischerström	1909	1938
nm0279227	W.D. Fischter	\N	\N
nm0279393	Blanche Fisher	\N	\N
nm0279404	Bud Fisher	1884	1954
nm0279413	Charles Fisher	\N	1914
nm0279475	Edna Fisher	1891	1978
nm0279508	George Fisher	1891	1960
nm0279530	Harry Fisher	1868	1923
nm0279656	Maggie Fisher	1854	1938
nm0279957	Minnie Maddern Fiske	1865	1932
nm0280003	Clyde Fitch	1865	1909
nm0280201	Cissy Fitzgerald	1873	1941
nm0280261	James A. Fitzgerald	1880	1949
nm0280432	Lewin Fitzhamon	1869	1961
nm0280463	George Fitzmaurice	1885	1940
nm0280615	Bob Fitzsimmons	1863	1917
nm0280628	John A. Fitzsimmons	\N	\N
nm0280746	Solborg Fjeldsøe Rasmussen	\N	\N
nm0280841	James Montgomery Flagg	1877	1960
nm0281016	D.J. Flanagan	\N	\N
nm0281125	B.D. Flanders	\N	\N
nm0281381	Fred Fleck	1892	1961
nm0281620	Carroll Fleming	1861	1930
nm0281621	Caryl S. Fleming	1890	1940
nm0281808	Victor Fleming	1889	1949
nm0282040	John Fletcher	1579	1625
nm0282252	Anne Crawford Flexner	1874	1955
nm0282348	Hugo Flink	1879	1947
nm0282367	G. Flinn	\N	\N
nm0282529	Paul Flon	1898	1981
nm0282653	Florelle	1898	1974
nm0282725	Flores	\N	\N
nm0283327	Edna Flugrath	1892	1966
nm0283393	Emilie Flygare-Carlén	1807	1892
nm0283444	Emmett J. Flynn	1892	1937
nm0283636	Thomas Flynn	1852	1926
nm0283766	Aladár Fodor	1878	1918
nm0283802	Imre Földes	1881	1958
nm0284137	Florence Foley	\N	\N
nm0284960	Alfredo Fontanals	1882	\N
nm0285202	Courtenay Foote	1878	1925
nm0285242	George Foottit	1864	1921
nm0285280	Friedrich Forberg	\N	\N
nm0285425	Johnston Forbes-Robertson	1853	1937
nm0285619	Dora Ford	\N	\N
nm0285627	Eddie Ford	\N	\N
nm0285643	Francis Ford	1881	1953
nm0285684	Hugh Ford	1868	1952
nm0285751	Lettie Ford	1847	1936
nm0285834	Rae Ford	1885	1925
nm0285837	Ray Ford	\N	\N
nm0285947	Eugenie Forde	1879	1940
nm0285961	Victoria Forde	1896	1964
nm0286002	Virginia Fordyce	1911	1995
nm0286042	Grant Foreman	\N	\N
nm0286189	Louis Forestier	1892	1954
nm0286346	Harry Forsman	1867	1933
nm0286379	Tom Forman	1893	1926
nm0286408	Karl Formes	1841	1939
nm0286594	Allan Forrest	1885	1941
nm0286788	Edwin Forsberg	1872	1947
nm0287085	Blanche Forsythe	1872	1953
nm0287097	Hattie Forsythe	\N	\N
nm0287628	Paul Fosse	1885	1959
nm0287792	Edna Foster	1900	\N
nm0287801	Fern Foster	1885	1949
nm0287854	J. Morris Foster	1881	1966
nm0288119	William C. Foster	1880	1923
nm0288616	Frank Powell	1877	\N
nm0288704	Evelyn Fowler	\N	\N
nm0288778	Norman Fowler	\N	\N
nm0288971	Edward Lyell Fox	\N	\N
nm0289073	John Fox Jr.	1862	1919
nm0289301	William Fox	1879	1952
nm0289317	Earle Foxe	1887	1973
nm0289613	Harry Fragson	1869	1913
nm0289722	C.A. Frambers	\N	\N
nm0289787	Anatole France	1844	1924
nm0289797	Charles H. France	1869	1940
nm0290066	Alec B. Francis	1867	1934
nm0290176	Helen Francis	\N	\N
nm0290260	Evelyn Francis	\N	\N
nm0290445	Paul Franck	1870	1947
nm0290767	Billy Franey	1889	1940
nm0290822	Alexander F. Frank	1866	1939
nm0290962	J. Herbert Frank	1885	1926
nm0291274	Julius Frankenburg	\N	\N
nm0291387	Chester M. Franklin	1890	1954
nm0291877	Nell Franzen	1889	1973
nm0292407	Fraunie Fraunholz	1876	1938
nm0292418	Jack Frawley	\N	\N
nm0292433	William Frawley	1887	1966
nm0292453	Frank Frayne	1863	1938
nm0292470	Edwin Frazee	1881	\N
nm0292503	Elizabeth Frazer	\N	\N
nm0292537	Robert Frazer	1891	1944
nm0292810	Pauline Frederick	1883	1938
nm0292827	Frederic Arnold Kummer	1873	1943
nm0292908	Philippa Frederiksen	1870	1955
nm0293415	Helen Freeman	1886	1960
nm0294022	Elvira Fremont	\N	\N
nm0294045	Bert French	1883	1924
nm0294056	Caroline French	\N	\N
nm0294058	Charles K. French	1860	1952
nm0294090	Georgia French	1911	1994
nm0294268	Theo Frenkel Jr.	1893	1955
nm0294276	Theo Frenkel	1871	1956
nm0295457	Berta Friedrichová	1892	1975
nm0295843	Axel Frische	1877	1956
nm0295961	Victor Frith	1888	\N
nm0296083	Johanne Fritz-Petersen	1879	1961
nm0296178	Else Frölich	1880	1960
nm0296193	Carl Froelich	1875	1953
nm0296245	Daniel Frohman	1851	1940
nm0296344	Maria Fromet	1902	1967
nm0296433	Albert Froom	1866	1940
nm0296703	Arrigo Frusta	1875	1965
nm0297039	Einar Fröberg	1875	1934
nm0297269	Oskar Fuchs	1866	1927
nm0297368	Francisco Fuentes hijo	\N	\N
nm0297416	Francisco Fuentes	\N	\N
nm0298080	Ludwig Fulda	1862	1939
nm0298291	Loie Fuller	1862	1928
nm0298300	Martin Fuller	\N	\N
nm0298301	Mary Fuller	1888	1973
nm0298513	Valentine Fulton	\N	\N
nm0298614	Tronier Funder	1884	1964
nm0298854	Barney Furey	1882	1938
nm0299052	Grace Livingston Furniss	1864	1938
nm0299053	Harry Furniss	1854	1925
nm0299154	Jules Furthman	1888	1966
nm0299421	Jacques Futrelle	1875	1912
nm0299674	Maurice de Féraudy	1859	1932
nm0299757	Aage Fønss	1887	1976
nm0299761	Olaf Fønss	1882	1949
nm0300444	Conchita Gach	\N	\N
nm0300487	Urban Gad	1879	1947
nm0300561	Alexander Gaden	1873	1958
nm0300837	Robert Gage	\N	\N
nm0301187	Jane Gail	1889	1963
nm0301252	Robert Gaillard	1868	1941
nm0301787	Avelino Galcerán	\N	\N
nm0301888	Minna Gale	1869	1944
nm0301961	Henrik Galeen	1881	1949
nm0302025	Leonard Galezio	1891	1965
nm0302368	Donald Gallaher	1895	1961
nm0302477	Ray Gallagher	1885	1953
nm0302647	Señor Gallart	\N	\N
nm0302661	Alberta Gallatin	1861	1948
nm0303023	El Gallo	\N	\N
nm0303066	Mario Gallo	1878	1945
nm0303120	Carmine Gallone	1885	1973
nm0303780	Fred Gamble	1868	1939
nm0304098	Abel Gance	1889	1981
nm0304183	Alfred Gandolfi	1882	1963
nm0304236	Nolan Gane	1892	1915
nm0304862	Ferruccio Garavaglia	1868	1912
nm0305087	Al Ernest Garcia	1887	1938
nm0305591	Angel García Cardona	\N	\N
nm0305683	Antonio García Gutiérrez	\N	\N
nm0306604	Aage Garde	1876	1955
nm0306723	Vladimir Gardin	1877	1965
nm0306817	Albert Gardner	\N	\N
nm0306837	Bert Gardner	\N	\N
nm0306875	Cyril Gardner	1898	1942
nm0306947	Helen Gardner	1884	1968
nm0307036	Louis B. Gardner	\N	\N
nm0307038	M.B. Gardner	\N	\N
nm0307693	Clyde Garner	\N	\N
nm0307872	Robert-Jules Garnier	1883	1958
nm0308257	Richard Garrick	1878	1962
nm0308551	Claude Garry	1877	1918
nm0308848	William Garwood	1884	1950
nm0309130	Charles L. Gaskill	1870	1943
nm0309149	Elizabeth Gaskins	\N	\N
nm0309163	Louis J. Gasnier	1875	1963
nm0309186	José Gaspar	\N	\N
nm0309460	Mae Gaston	1885	1962
nm0309557	Eleanor Gates	1875	1951
nm0309567	Harvey Gates	1889	1948
nm0309974	Tony Gaudio	1883	1951
nm0310155	Gene Gauntier	1885	1966
nm0310375	Théophile Gautier	1811	1872
nm0310844	Howard Gaye	1878	1955
nm0311375	George Gebhardt	1879	1919
nm0312146	Hortensia Gelabert	\N	\N
nm0312148	José María Gelabert	\N	\N
nm0312600	Robert Gemp	1864	1932
nm0313043	Jorge Gentil	\N	\N
nm0313055	Annie Gentile	\N	\N
nm0313532	Maude George	1888	1963
nm0313993	Rosemonde Gerard	1866	1953
nm0314025	Alicia Gerart	\N	\N
nm0314138	Neva Gerber	1891	1974
nm0314521	Edward German	1862	1936
nm0314567	Mariya Germanova	1884	1940
nm0314700	Douglas Gerrard	1891	1950
nm0314765	Baby Marie Gereghty	1910	\N
nm0314898	Harry W. Gerstad	1886	1966
nm0315793	Alberto Ghira	1888	1971
nm0316220	Joseph Giampietro	1866	1913
nm0316269	Olga Giannini Novelli	1867	\N
nm0316595	Rose Gibbons	1880	1964
nm0316728	Robert Paton Gibbs	1860	1941
nm0316794	Charles Giblyn	1871	1934
nm0316890	Charles Dana Gibson	1867	1944
nm0316947	Dorothy Gibson	1889	1946
nm0316958	Ethelyn Gibson	1897	1972
nm0316960	Florence Gibson	1870	1953
nm0316987	Hardy Gibson	\N	\N
nm0316989	Harry Gibson	\N	\N
nm0316993	Helen Gibson	1892	1977
nm0316995	Hoot Gibson	1892	1962
nm0317098	Patricia Palmer	1894	1964
nm0317210	W.A. Gibson	1870	1929
nm0317319	Al Giebler	1872	1950
nm0317505	Ada Gifford	1885	\N
nm0317715	Antonio Gil Varela 'Varillas'	1895	1937
nm0318149	Lewis Gilbert	1862	1925
nm0318274	Billy Gilbert	1891	1961
nm0318306	Harry Gilbey	\N	\N
nm0318397	Johan Gildemeijer	1871	1945
nm0318516	Daniel Gilfether	1849	1919
nm0318560	Charles Gilhuys	1881	1955
nm0318730	Robert Stowe Gill	1880	1918
nm0318928	Edward Gillespie	1874	1918
nm0319067	Thomas Gillette	\N	\N
nm0319358	Rufus Gillmore	\N	\N
nm0319421	Ada Gilman	1854	1921
nm0319483	Pauline Gilmer	1899	1993
nm0319498	Barney Gilmore	1865	1949
nm0319532	Helen Gilmore	1872	1936
nm0319564	Paul Gilmore	1873	1962
nm0319713	William Gilson	\N	\N
nm0320618	Pedro Giralt y Alemany	\N	\N
nm0320681	Joseph W. Girard	1871	1949
nm0320761	Etienne Girardot	1856	1939
nm0320817	Edouard Giraudier	\N	\N
nm0321088	Dorothy Gish	1898	1968
nm0321652	Ottar Gladvedt	1890	1962
nm0321653	Solveig Gladvedt	\N	\N
nm0322096	Marc Glassman	\N	\N
nm0322170	Louise Glaum	1888	1970
nm0322284	Adda Gleason	1888	1971
nm0322485	Harry Gleizer	\N	\N
nm0322843	Rochus Gliese	1891	1978
nm0323256	Samuel M. Gluckstein	\N	\N
nm0323325	Elinor Glyn	1864	1943
nm0323379	Agnes Glynne	1894	1981
nm0323571	David W. Gobbett	1884	\N
nm0323766	Charles W. Goddard	1879	1951
nm0324073	Nicolas Godin	1969	\N
nm0324317	Fred Goebel	1891	1964
nm0324438	R. Henry Grey	1891	1934
nm0324473	Johann Wolfgang von Goethe	1749	1832
nm0324500	Ben Goetz	1891	1979
nm0324501	Carl Goetz	1862	1932
nm0324690	Nikolay Gogol	1809	1852
nm0324776	Henri Goidsen	\N	\N
nm0325448	Joseph A. Golden	\N	1942
